endTime,artistName,trackName,msPlayed;
2020-09-26 10:43,SHAED,Trampoline (with ZAYN),184280;
2020-09-26 10:46,Surf Mesa,ily (i love you baby) (feat. Emilee),176546;
2020-09-26 10:48,Bazzi,Renee's Song,130545;
2020-09-26 10:51,John K,if we never met,144426;
2020-09-26 10:53,Christian French,head first,154960;
2020-09-26 10:57,Marshmello,Be Kind (with Halsey),172761;
2020-09-26 11:00,Lewis Capaldi,Before You Go,215106;
2020-09-26 11:03,Lauv,Love Somebody,142773;
2020-09-26 11:06,Khalid,Eleven (feat. Summer Walker),206080;
2020-09-26 11:10,Bazzi,I Don't Think I'm Okay,176250;
2020-09-26 11:13,Alec Benjamin,Oh My God,187727;
2020-09-26 11:16,Jeremy Zucker,not ur friend,174520;
2020-09-26 11:18,Kina,Feel Again (Feat. Au/Ra),139354;
2020-09-26 11:22,Sam Smith,To Die For,193795;
2020-09-26 11:26,Lauv,Modern Loneliness,252337;
2020-09-26 11:30,Billie Eilish,everything i wanted,245425;
2020-09-26 11:34,AJ Mitchell,Slow Dance,178799;
2020-09-26 11:37,Maximillian,Ripples,195404;
2020-09-26 11:40,Like Mike,Put Your Lips,160879;
2020-09-26 11:42,Kina,Wish I Was Better,140571;
2020-09-26 11:45,Phil Good,Living With No One,173666;
2020-09-26 11:49,Lauv,Love Like That,184556;
2020-09-26 11:52,Justin Bieber,Intentions,212868;
2020-09-26 11:55,Ali Gatie,Say to You,194107;
2020-09-26 11:59,Madison Beer,Baby,207734;
2020-09-26 12:03,Harry Styles,Adore You,207133;
2020-09-26 12:05,Jeremy Zucker,always i'll care,146160;
2020-09-26 12:08,Boy In Space,Cold,203538;
2020-09-26 12:12,Lauv,Feelings,189906;
2020-09-26 12:16,Noak Hellsing,Lost,169666;
2020-09-26 12:18,Stephen Puth,Crying My Eyes Out,176539;
2020-09-26 12:22,Maximillian,Still Alive,192355;
2020-09-26 12:25,Ashe,Moral of the Story (feat. Niall Horan),198515;
2020-09-26 12:28,Lord Siva,Room For Love,152106;
2020-09-26 12:31,Alessia Cara,Ready,178693;
